module,scenario,status,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,year_eligible_groups,year_wr_min,year_wr_max,year_wr_std,symbol_eligible_groups,symbol_wr_min,symbol_wr_max,symbol_wr_std,discovery_survived,holdout_survived,discovery_failed,holdout_failed,leave_groups_passed,untouched_confirmation
pullback,skip_rsi_distance_from_avg_2,MIXED,282,0,121,161,0,0.42907801418439717,0.0632132107219598,0.02950535400509713,-0.02790880829471648,-0.02116890958104045,0.011189646673431851,-0.006023411310024818,0.011189646673431851,1.7022606160496623,6.024822695035461,4.0,-0.1245550227332578,-0.07003901752511808,-0.08681319429278551,0.21268751238563094,6,0.3023255813953488,0.5,0.06946507699740553,33,0.0,0.8,0.16099303999308304,False,False,"wr,symbol,year","sample,wr,symbol,year,tail",False,False
pullback,time_10,MIXED,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438,6,0.29411764705882354,0.47619047619047616,0.07724774838730718,41,0.1111111111111111,0.8333333333333334,0.16691736381503047,False,False,wr,"sample,wr,symbol,year,tail",True,False
pullback,time_15,MIXED,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438,6,0.29411764705882354,0.47619047619047616,0.07724774838730718,41,0.1111111111111111,0.8333333333333334,0.16691736381503047,False,False,wr,"sample,wr,symbol,year,tail",True,False
pullback,time_5,MIXED,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438,6,0.29411764705882354,0.47619047619047616,0.07724774838730718,41,0.1111111111111111,0.8333333333333334,0.16691736381503047,False,False,wr,"sample,wr,symbol,year,tail",True,False
squeeze,baseline,TAIL-SENSITIVE,194,1,66,128,0,0.3402061855670103,0.081788895659874,0.053582172636585046,-0.036871951958035026,-0.03166704791833019,0.0034972023862020634,-0.01926292279803754,0.0034972023862020634,1.1437528279658231,11.95360824742268,8.0,-0.14879647972730503,-0.07507114978092018,-0.09352004371755626,0.3060898420924718,5,0.2558139534883721,0.3953488372093023,0.04903430986557776,17,0.0,0.6,0.17637730405376897,False,False,"wr,tail","sample,wr,expectancy,pf,symbol,year,tail",False,False
squeeze,breakeven_1,TAIL-SENSITIVE,209,0,32,95,82,0.15311004784688995,0.07607852309849378,0.04094382061914126,-0.030754163533650004,-0.019741090575221,-0.002330778930837079,0.0,-0.002330778930837079,0.8332676600932089,5.923444976076555,4.0,-0.2336822901848492,-0.07122243977000373,-0.10088836661092446,0.53385129975629,5,0.07142857142857142,0.20454545454545456,0.04851237778325093,21,0.0,0.4,0.12699544185273356,False,False,"wr,expectancy,pf,symbol,year,tail","sample,wr,expectancy,pf,winner_size,symbol,year,tail",False,False
squeeze,breakeven_2,TAIL-SENSITIVE,202,0,46,88,68,0.22772277227722773,0.07309682427174931,0.04444193654864159,-0.03850098864343339,-0.03529913774584936,-0.00012689645604787504,0.0,-0.00012689645604787504,0.9924343489063404,8.247524752475247,6.0,-0.14879647972730503,-0.07542754968081111,-0.09595071921849817,0.3865235992355507,5,0.14285714285714285,0.3076923076923077,0.06365093324648441,21,0.0,0.6,0.1538225794386396,False,False,"wr,expectancy,pf,symbol,year,tail","sample,wr,expectancy,pf,symbol,year,tail",False,False
squeeze,breakeven_3,TAIL-SENSITIVE,198,0,55,99,44,0.2777777777777778,0.07167229735721299,0.05150216381907469,-0.03882526293696167,-0.03414937066490009,0.0004963400196338852,-8.807542132543977e-05,0.0004963400196338852,1.0255678896722356,9.808080808080808,7.0,-0.14879647972730503,-0.07495234981428987,-0.09352004371755626,0.3296995398101298,5,0.15384615384615385,0.3409090909090909,0.07036320407743968,19,0.0,0.6,0.16527385022685603,False,False,"wr,expectancy,pf,year,tail","sample,wr,expectancy,pf,symbol,year,tail",False,False
squeeze,breakeven_4,TAIL-SENSITIVE,196,0,62,107,27,0.3163265306122449,0.06981265672434009,0.047544193656259726,-0.03850322110908783,-0.0329800062846336,0.0010639798889626908,-0.008544884110568918,0.0010639798889626908,1.050618427517092,11.127551020408163,8.0,-0.14879647972730503,-0.07501174979760503,-0.09352004371755626,0.32125920876453,5,0.23076923076923078,0.37209302325581395,0.05415917717069179,18,0.0,0.6,0.17608821134040592,False,False,"wr,expectancy,pf,year,tail","sample,wr,expectancy,pf,symbol,year,tail",False,False
squeeze,early_3,TAIL-SENSITIVE,194,1,65,129,0,0.33505154639175255,0.08232219777725393,0.05451942130163734,-0.034648622641380945,-0.030821786052953493,0.004542631622594654,-0.016838445300719762,0.004542631622594654,1.197166698483576,11.54639175257732,8.0,-0.14879647972730503,-0.07141632545390404,-0.09162512580865852,0.3087854897733844,5,0.2558139534883721,0.3953488372093023,0.04782005885608376,17,0.0,0.6,0.17637730405376897,False,False,"wr,year,tail","sample,wr,expectancy,pf,symbol,year,tail",False,False
