module,scenario,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,lock25_1,2023,141,0,94,47,0,0.6666666666666666,0.022280506075076555,0.006433971501683566,-0.028641773572063763,-0.020674662938706123,0.005306412859363114,0.0039455691325192,0.005306412859363114,1.555804916830166,5.929078014184397,3.0,-0.13822502620668287,-0.05658702953144046,-0.07729424397379207,0.5207452570719224
breakout,lock25_1,2024,212,0,137,75,0,0.6462264150943396,0.020925333947724972,0.006614387600715421,-0.03227489159668137,-0.020441008742842937,0.0021044994390906507,0.003526715363810329,0.0021044994390906507,1.184314125321738,5.433962264150943,4.0,-0.1437077899233894,-0.07060677181483448,-0.09097036501626493,0.34685276510936114
breakout,lock25_1,2025,148,0,94,54,0,0.6351351351351351,0.014883919856797002,0.00614935269226935,-0.03843512063881766,-0.03588950190453988,-0.004570324648359699,0.003397342605015674,-0.004570324648359699,0.6740982009688221,4.777027027027027,3.0,-0.16202942358134653,-0.062188847718883174,-0.08984510786462055,0.43533396654025586
breakout,lock25_1,2026,117,1,66,51,0,0.5641025641025641,0.030214461321881592,0.011103189139008096,-0.04144443512249779,-0.03792858931098919,-0.0010214678974632685,0.003407242498579821,-0.0010214678974632685,0.9434576072143765,5.119658119658119,3.0,-0.21953813037602288,-0.07523051622972768,-0.11073683528157126,0.5187026908564879
breakout,lock25_2,2021,25,0,10,15,0,0.4,0.026395615091629087,0.013730896652466629,-0.03951012291827962,-0.04565287177665278,-0.013147827714316138,-0.00690733910623631,-0.013147827714316138,0.44538147259499716,6.2,5.0,-0.10933888191320018,-0.061661343094814504,-0.08581601447855042,0.8256840278370073
breakout,lock25_2,2022,37,0,24,13,0,0.6486486486486487,0.02396705631593034,0.012466095786910492,-0.03961178375069103,-0.03766905851074254,0.0016285449411714836,0.006704545454545574,0.0016285449411714836,1.1170128938681978,5.756756756756757,4.0,-0.09928727415436644,-0.0712838142091676,-0.0932861727078606,0.6408484623093946
breakout,lock25_2,2023,126,0,78,48,0,0.6190476190476191,0.037112713291833306,0.012989322413006321,-0.03990578838525632,-0.03873655508223878,0.007772331700561065,0.006184218953895426,0.007772331700561065,1.5112634417093915,8.73015873015873,6.0,-0.13822502620668287,-0.0651901496312211,-0.09003884771749068,0.5321444060131089
breakout,lock25_2,2024,187,0,120,67,0,0.6417112299465241,0.0345469780373547,0.012070552901462639,-0.04266759468649804,-0.035221287441627,0.0068818637459208305,0.00641763384944527,0.0068818637459208305,1.4501680959319694,8.283422459893048,6.0,-0.1437077899233894,-0.07376592609035307,-0.09774171410951546,0.2999098823367551
breakout,lock25_2,2025,140,0,85,55,0,0.6071428571428571,0.02272654738822283,0.008636074527110793,-0.04639277518146113,-0.04339528110242241,-0.004427472192724441,0.0055170367092359784,-0.004427472192724441,0.7570757693679085,6.692857142857143,5.0,-0.16202942358134653,-0.07722579595436396,-0.10520931740687614,0.38118008922175844
breakout,lock25_2,2026,113,0,62,51,0,0.5486725663716814,0.038853829272126605,0.014873709456743156,-0.05206616422574932,-0.04851240002087531,-0.0021808580587731486,0.00612244897959191,-0.0021808580587731486,0.9071931389735823,6.743362831858407,4.0,-0.21953813037602288,-0.08570551993860931,-0.1281227978911755,0.5111928599774033
breakout,lock25_3,2021,25,0,10,15,0,0.4,0.027115635256622684,0.013730896652466629,-0.04507088165773777,-0.049370320638020826,-0.016196274891993587,-0.01730275225456479,-0.016196274891993587,0.4010813524429539,6.56,5.0,-0.10933888191320018,-0.06794157120240289,-0.08934627957761432,0.8037590703602845
breakout,lock25_3,2022,37,0,21,16,0,0.5675675675675675,0.027738050008344808,0.0164839435594466,-0.03812545694875955,-0.03534717690405326,-0.0007434665136462671,0.00785244414752917,-0.0007434665136462671,0.9549050306434969,6.8108108108108105,5.0,-0.09928727415436644,-0.0712838142091676,-0.0932861727078606,0.6460719869639703
breakout,lock25_3,2023,121,0,66,55,0,0.5454545454545454,0.04513869515091803,0.017390863107284438,-0.04265464791455804,-0.039474530418931786,0.005232630121156175,0.008968982962724636,0.005232630121156175,1.2698835139749125,10.355371900826446,8.0,-0.13822502620668287,-0.07128869004003047,-0.09234077700399493,0.517075397292784
breakout,lock25_3,2024,179,0,110,69,0,0.6145251396648045,0.04228123843963072,0.01873382176326288,-0.044819091721088125,-0.03642983927199728,0.008706250835778208,0.008705431359893545,0.008706250835778208,1.5039321478051841,9.69832402234637,7.0,-0.1437077899233894,-0.07926943075165861,-0.10567601598010376,0.26732630875728053
breakout,lock25_3,2025,131,0,71,60,0,0.5419847328244275,0.03431306303427582,0.014739577433866557,-0.046799982031634955,-0.044026631738592115,-0.002837949973011553,0.007309072548414175,-0.002837949973011553,0.867602710398047,8.526717557251908,6.0,-0.16202942358134653,-0.08181600775410469,-0.10823174177147911,0.3769221891018849
breakout,lock25_3,2026,110,0,60,50,0,0.5454545454545454,0.04353782967612105,0.01674030910073987,-0.05296647663009743,-0.04800328879862731,-0.00032776409943280246,0.00804079101154298,-0.00032776409943280246,0.9863860867358046,7.581818181818182,5.0,-0.21953813037602288,-0.08384007312705018,-0.1252559125953449,0.4754467361773067
breakout,lock25_4,2021,25,0,11,14,0,0.44,0.0259925392597931,0.014523905937852133,-0.05404240756860627,-0.049972999239801474,-0.018827030964110546,-0.021360495159926107,-0.018827030964110546,0.37790154690059746,6.84,6.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.7630932757415542
breakout,lock25_4,2022,36,0,19,17,0,0.5277777777777778,0.031135868923586597,0.017520648902937586,-0.03490627833395803,-0.030899963378906214,-5.07006146983624e-05,0.004456892019219172,-5.07006146983624e-05,0.9969241634250053,7.722222222222222,6.5,-0.09928727415436644,-0.053699449736884675,-0.0932861727078606,0.6456017424212456
breakout,lock25_4,2023,120,0,62,58,0,0.5166666666666667,0.04910363564603632,0.019285504089938565,-0.04202943670244332,-0.039321926215926006,0.005055984010937818,0.009225460771128291,0.005055984010937818,1.248888812105969,10.825,9.0,-0.13822502620668287,-0.0713871084708155,-0.09584945816465568,0.5059894622445389
breakout,lock25_4,2024,174,0,96,78,0,0.5517241379310345,0.05160948032970916,0.026037127690638484,-0.0429428230190469,-0.03498861052506447,0.009223965035439204,0.010319760651699816,0.009223965035439204,1.4791612646803043,10.913793103448276,8.0,-0.1437077899233894,-0.08009791539750176,-0.10567601598010376,0.26307511384747323
breakout,lock25_4,2025,127,0,62,65,0,0.4881889763779528,0.04391860671907098,0.02019202248627061,-0.04592126133542449,-0.042169318516553145,-0.0020624281119700077,-0.0032215852095386355,-0.0020624281119700077,0.9122483329732012,9.551181102362206,7.0,-0.16202942358134653,-0.08209595928681457,-0.10823174177147911,0.3796650649477613
breakout,lock25_4,2026,107,0,54,53,0,0.5046728971962616,0.05003965661857964,0.019605912164781802,-0.05236873281413279,-0.046174985774201094,-0.0006859942219227826,0.004439313349551277,-0.0006859942219227826,0.973554224885161,8.383177570093459,6.0,-0.21953813037602288,-0.08579498577820749,-0.12612932514465724,0.46572176781689395
breakout,skip_bars_since_rsi_up_5,2021,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.04245396112348273,-0.04565287177665278,-0.024277280398524934,-0.021360495159926107,-0.024277280398524934,0.24756632472652998,8.28,7.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014
breakout,skip_bars_since_rsi_up_5,2022,31,0,12,19,0,0.3870967741935484,0.05680469095695936,0.03219103192603101,-0.03297451906913664,-0.030899963378906214,0.0017787235216101941,-0.00706314356443305,0.0017787235216101941,1.0880112260307242,11.709677419354838,10.0,-0.09928727415436644,-0.07702835843628447,-0.0932861727078606,0.7757343309942017
breakout,skip_bars_since_rsi_up_5,2023,109,0,46,63,0,0.42201834862385323,0.07512509987084179,0.032086495374129664,-0.040268123162476376,-0.03784418252842414,0.008429934264428526,-0.011626829856081544,0.008429934264428526,1.362200252130358,13.192660550458715,12.0,-0.13822502620668287,-0.0751831241213238,-0.09689099909293325,0.5572722956334043
breakout,skip_bars_since_rsi_up_5,2024,158,0,73,85,0,0.4620253164556962,0.06486987107844584,0.04001896200604449,-0.0427789817652835,-0.037279025192223814,0.006957513535933216,-0.008245938717640011,0.006957513535933216,1.3023164491794634,12.49367088607595,10.0,-0.1437077899233894,-0.08266849380531441,-0.10523520572419034,0.25603228713820747
breakout,skip_bars_since_rsi_up_5,2025,105,0,37,68,0,0.3523809523809524,0.08108367519961018,0.05816745255780065,-0.045940834116192264,-0.04278229980948778,-0.0011798165477666465,-0.023569910702728847,-0.0011798165477666465,0.9603451790385237,11.60952380952381,9.0,-0.16202942358134653,-0.08327584270121087,-0.11251771763574574,0.34459242896203846
