module,scenario,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,lock25_1,TSLA,11,0,7,4,0,0.6363636363636364,0.04937922680202684,0.01008922313158811,-0.09202588325765346,-0.09287040614245773,-0.002040813219675086,0.004311233798169223,-0.002040813219675086,0.9390145885544681,4.909090909090909,5.0,-0.16202942358134653,-0.13098358388079445,-0.16202942358134653,0.9786730602349337
breakout,lock25_1,TSM,25,0,13,12,0,0.52,0.011249138073834021,0.008541585114667294,-0.04340170842003168,-0.04674280959450389,-0.014983268243221515,0.0031855459637499806,-0.014983268243221515,0.2807854043143822,4.36,4.0,-0.10731163589001569,-0.07816677607246776,-0.09310607791593972,0.6528345368676897
breakout,lock25_1,UBER,9,0,4,5,0,0.4444444444444444,0.07061917758353653,0.01338517869616318,-0.0555353162593895,-0.05968925343907605,0.0005333476707998466,-0.013425788600550659,0.0005333476707998466,1.0172867622281239,7.0,2.0,-0.11205946390479227,-0.09575115435888755,-0.11205946390479227,1.0
breakout,lock25_1,V,15,0,9,6,0,0.6,0.01291259591832699,0.004016262147484628,-0.025891860466689638,-0.02990870792892686,-0.002609186635679661,0.0026715972485658046,-0.002609186635679661,0.7480688343121935,7.266666666666667,4.0,-0.04023518231209178,-0.03590297301553358,-0.04023518231209178,0.8935682000308589
breakout,lock25_1,WMT,11,0,9,2,0,0.8181818181818182,0.020922820377832933,0.007365288666768333,-0.0053474369109656195,-0.0053474369109656195,0.016146409961687744,0.005753351753091884,0.016146409961687744,17.607069193687124,9.454545454545455,7.0,-0.005883089945163844,-0.0053474369109656195,-0.005883089945163844,0.8988088014417357
breakout,lock25_1,XOM,10,0,7,3,0,0.7,0.02498105888658467,0.008074381568897726,-0.02046625175851032,-0.013270992322317543,0.011346865693056174,0.007426341140011394,0.011346865693056174,2.848061193119692,6.3,3.5,-0.04117548570849616,-0.02861846368471578,-0.04117548570849616,0.9458895942781979
breakout,lock25_2,AAPL,18,0,11,7,0,0.6111111111111112,0.02701573210409465,0.014523905937852133,-0.041854035793328505,-0.038158724207002837,0.00023304458843009183,0.005954434316978396,0.00023304458843009183,1.0143177952077318,11.88888888888889,10.5,-0.10278754392746203,-0.057114238044144824,-0.10278754392746203,0.8230933823465701
breakout,lock25_2,ABNB,6,0,3,3,0,0.5,0.016618495692136026,0.010634585732613555,-0.02622031502069755,-0.020441008742842937,-0.004800909664280761,0.0020736821929415172,-0.004800909664280761,0.6338022895231378,7.166666666666667,6.5,-0.05612131456805003,-0.047201238111748256,-0.05612131456805003,1.0
breakout,lock25_2,AMD,11,0,8,3,0,0.7272727272727273,0.039533251662196234,0.020982074462634004,-0.0690674913223337,-0.06913643888795018,0.009914867211869889,0.0063875196318829985,0.009914867211869889,1.5263621483010774,6.0,5.0,-0.07465078823616478,-0.07189361356205748,-0.07465078823616478,0.9566644528287847
breakout,lock25_2,AMZN,15,0,5,10,0,0.3333333333333333,0.008679219486407864,0.006401386474740978,-0.03012886720952106,-0.029801945281590858,-0.017192838310878086,-0.014512345857763176,-0.017192838310878086,0.14403494539059758,8.066666666666666,7.0,-0.06645868509048936,-0.050010222560915196,-0.06645868509048936,1.0
