blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
long_fail_candle,distance_to_upper_band_atr,1,1,1,1,1.0,0.20863082439269218,0.010661090563843123
long_fail_candle,distance_to_upper_band_atr,2,2,2,2,1.0,1.4634727134158152,0.11735272179976852
long_fail_candle,distance_to_upper_band_atr,3,1,1,0,0.0,2.1566039553501164,-0.11301516826290925
long_fail_candle,distance_to_upper_band_atr,4,3,3,2,0.6666666666666666,2.7440886704596372,0.03666308970340008
long_fail_candle,distance_to_upper_band_atr,5,0,0,0,,,
long_fail_candle,bars_since_rsi_up,1,6,6,4,0.6666666666666666,0.0,0.01639852874446616
long_fail_candle,bars_since_rsi_up,2,1,1,1,1.0,1.0,0.1439494625438742
long_fail_candle,bars_since_rsi_up,3,0,0,0,,,
long_fail_candle,bars_since_rsi_up,4,0,0,0,,,
long_fail_candle,bars_since_oversold,1,1,1,1,1.0,18.0,0.010661090563843123
long_fail_candle,bars_since_oversold,2,1,1,1,1.0,74.0,0.0745734472507884
long_fail_candle,bars_since_oversold,3,2,2,1,0.5,128.0,0.015467147140482473
long_fail_candle,bars_since_oversold,4,2,2,2,1.0,195.5,0.11528644989774084
long_fail_candle,bars_since_oversold,5,0,0,0,,,
long_fail_candle,bars_since_squeeze,1,1,1,1,1.0,0.0,0.010661090563843123
long_fail_candle,bars_since_squeeze,2,3,3,2,0.6666666666666666,4.0,0.010666394144870731
long_fail_candle,bars_since_squeeze,3,1,1,1,1.0,7.0,0.1439494625438742
long_fail_candle,bars_since_squeeze,4,1,1,1,1.0,25.0,0.16013199634874864
long_fail_candle,bars_since_squeeze,5,0,0,0,,,
pb_long_fail_reclaim,rsi,1,1620,1610,972,0.6037267080745342,42.81660740885067,0.019688794624267782
pb_long_fail_reclaim,rsi,2,206,203,122,0.6009852216748769,49.16537703625913,0.01820285118354574
pb_long_fail_reclaim,rsi,3,153,151,80,0.5298013245033113,50.77017300368221,0.007115990491340013
pb_long_fail_reclaim,rsi,4,148,139,79,0.5683453237410072,52.535397213173574,0.014073970671383088
pb_long_fail_reclaim,rsi,5,370,360,192,0.5333333333333333,56.697890983686506,0.006992487902899981
pb_long_fail_reclaim,rsi_distance_from_avg,1,1072,1064,628,0.5902255639097744,-3.227556082074617,0.021354755523870686
pb_long_fail_reclaim,rsi_distance_from_avg,2,576,568,355,0.625,2.782469738834301,0.01730761108419324
pb_long_fail_reclaim,rsi_distance_from_avg,3,394,390,216,0.5538461538461539,5.7691280814968415,0.012087995291471133
pb_long_fail_reclaim,rsi_distance_from_avg,4,271,263,150,0.5703422053231939,8.50232191247558,0.010218849321683526
pb_long_fail_reclaim,rsi_distance_from_avg,5,184,178,96,0.5393258426966292,11.96710740717971,0.005551526738161917
pb_long_fail_reclaim,htf_adx,1,412,406,209,0.5147783251231527,18.70241020701127,0.01108206436123619
pb_long_fail_reclaim,htf_adx,2,420,412,261,0.633495145631068,20.267101162275168,0.017417589339567982
pb_long_fail_reclaim,htf_adx,3,487,479,278,0.5803757828810021,22.235487469433465,0.017531377291423594
pb_long_fail_reclaim,htf_adx,4,377,371,205,0.5525606469002695,24.708520759207083,0.015100365775559543
pb_long_fail_reclaim,htf_adx,5,801,795,492,0.6188679245283019,29.216370012950428,0.019203899250315855
pb_long_fail_reclaim,adx_margin,1,412,406,209,0.5147783251231527,0.7024102070112708,0.01108206436123619
pb_long_fail_reclaim,adx_margin,2,420,412,261,0.633495145631068,2.2671011622751696,0.017417589339567982
pb_long_fail_reclaim,adx_margin,3,487,479,278,0.5803757828810021,4.235487469433465,0.017531377291423594
pb_long_fail_reclaim,adx_margin,4,377,371,205,0.5525606469002695,6.708520759207083,0.015100365775559543
pb_long_fail_reclaim,adx_margin,5,801,795,492,0.6188679245283019,11.216370012950428,0.019203899250315855
pb_long_fail_reclaim,ema_spread_pct,1,375,367,192,0.5231607629427792,2.649622155013854,0.008513076704410332
pb_long_fail_reclaim,ema_spread_pct,2,532,524,299,0.5706106870229007,5.148299840058181,0.006738492678684132
pb_long_fail_reclaim,ema_spread_pct,3,603,595,367,0.6168067226890757,7.932433602231617,0.01745352783768438
pb_long_fail_reclaim,ema_spread_pct,4,585,585,344,0.588034188034188,12.495284822103631,0.01592955202983124
pb_long_fail_reclaim,ema_spread_pct,5,402,392,243,0.6198979591836735,21.08853173099864,0.037202357022619745
pb_long_fail_reclaim,atr_pct,1,517,511,288,0.5636007827788649,1.79415381258721,0.00935751095866611
pb_long_fail_reclaim,atr_pct,2,537,531,306,0.576271186440678,2.3732115409647454,0.010051755866866543
pb_long_fail_reclaim,atr_pct,3,430,423,269,0.6359338061465721,2.89660793302999,0.019804014080528145
pb_long_fail_reclaim,atr_pct,4,574,561,343,0.6114081996434938,3.6349666061852064,0.02664028565082583
pb_long_fail_reclaim,atr_pct,5,439,437,239,0.5469107551487414,5.738841474852259,0.017164214179698597
pb_long_fail_reclaim,candle_range_atr,1,829,821,481,0.5858708891595615,0.5954256593511258,0.01475932514760391
pb_long_fail_reclaim,candle_range_atr,2,521,511,305,0.5968688845401174,0.7835623410026022,0.020782043005282472
pb_long_fail_reclaim,candle_range_atr,3,556,546,321,0.5879120879120879,0.9488797109238554,0.016553899994139767
pb_long_fail_reclaim,candle_range_atr,4,271,266,150,0.5639097744360902,1.1492022900949204,0.011245374987781255
pb_long_fail_reclaim,candle_range_atr,5,320,319,188,0.5893416927899686,1.4338067959505252,0.01935893793873736
pb_long_fail_reclaim,volume_ratio,1,868,858,506,0.5897435897435898,0.6924085082272513,0.01327571311633682
pb_long_fail_reclaim,volume_ratio,2,457,447,250,0.5592841163310962,0.8668901235134763,0.008027506644612475
pb_long_fail_reclaim,volume_ratio,3,485,484,289,0.5971074380165289,1.0022017486563108,0.018466154702848743
pb_long_fail_reclaim,volume_ratio,4,282,276,165,0.5978260869565217,1.1737396812998853,0.02794194856659406
pb_long_fail_reclaim,volume_ratio,5,405,398,235,0.5904522613065326,1.489548459417396,0.023401447897919547
pb_long_fail_reclaim,distance_to_breakout_atr,1,230,225,119,0.5288888888888889,0.1496823996813566,0.005514786197913626
pb_long_fail_reclaim,distance_to_breakout_atr,2,395,387,216,0.5581395348837209,0.6994671349240825,0.012872341221704919
pb_long_fail_reclaim,distance_to_breakout_atr,3,419,408,248,0.6078431372549019,1.239937944411678,0.020158128044814858
pb_long_fail_reclaim,distance_to_breakout_atr,4,455,449,276,0.6146993318485523,1.8442938607893653,0.01818765823265841
pb_long_fail_reclaim,distance_to_breakout_atr,5,998,994,586,0.5895372233400402,2.9537156291702216,0.018439670555141896
pb_long_fail_reclaim,bb_width,1,564,548,295,0.5383211678832117,0.06597488515085265,0.009968061006636027
pb_long_fail_reclaim,bb_width,2,432,427,264,0.6182669789227166,0.09809733712392157,0.013133300186506887
pb_long_fail_reclaim,bb_width,3,484,479,306,0.6388308977035491,0.12874141556728946,0.02465724539114139
pb_long_fail_reclaim,bb_width,4,473,468,275,0.5876068376068376,0.16961071740921918,0.018365251294432165
